"gender" "weight"
"1" 1 3837
"2" 1 3334
"3" 2 3554
"4" 2 3838
"5" 2 3625
"6" 1 2208
"7" 1 1745
"8" 2 2846
"9" 2 3166
"10" 2 3520
"11" 2 3380
"12" 2 3294
"13" 1 2576
"14" 1 3208
"15" 2 3521
"16" 1 3746
"17" 1 3523
"18" 2 2902
"19" 2 2635
"20" 2 3920
"21" 2 3690
"22" 1 3430
"23" 1 3480
"24" 1 3116
"25" 1 3428
"26" 2 3783
"27" 2 3345
"28" 2 3034
"29" 1 2184
"30" 2 3300
"31" 1 2383
"32" 2 3428
"33" 2 4162
"34" 2 3630
"35" 2 3406
"36" 2 3402
"37" 1 3500
"38" 2 3736
"39" 2 3370
"40" 2 2121
"41" 2 3150
"42" 1 3866
"43" 1 3542
"44" 1 3278
